Rank,Brand,Product Category,Points,,
189,Macma,"Non-profit, public sector & education",19.7,,
189,Bet365,Leisure & Entertainment,19.7,,
189,"Teletica, Inamu, Fedefutbol",Media & Publishing,19.7,,
189,The Swedish Tourish Association,Transport & Tourism,19.7,,
189,UBS,Financial Services,19.7,,
189,Uniqlo,Retail,19.7,,
197,Arroz Diana,Food,19.3,,
197,Procter & Gamble,Household & Domestic,19.3,,
197,Bepantol Baby,Pharma & Healthcare,19.3,,
197,H&M,Retail,19.3,,
201,Almaza,Alcoholic Drinks,19.0,,
202,Bagpiper,Alcoholic Drinks,18.5,,
203,Puerto Rico State Election Commission,"Non-profit, public sector & education",18.3,,
203,Reclame Aqui,"Non-profit, public sector & education",18.3,,
203,Pacifico Insurance,Financial Services,18.3,,
203,Ajax,Household & Domestic,18.3,,
203,Delamaison,Retail,18.3,,
203,Fiesta,Food,18.3,,
203,Sandy Hook Promise,"Non-profit, public sector & education",18.3,,
203,Baidu AI Glasses,Technology & Electronics,18.3,,
203,Microsoft,Technology & Electronics,18.3,,
203,SAIC General Motors,Automotive,18.3,,
203,Fundacion Huesped,"Non-profit, public sector & education",18.3,,
203,Spar,Retail,18.3,,
203,Pickwick,Soft Drinks,18.3,,
203,Suning,Retail,18.3,,
203,Holland Casino,Leisure & Entertainment,18.3,,
203,EITB Yournalist App,Media & Publishing,18.3,,
203,Globo TV / Instituto Rodrigo Mendes,Media & Publishing,18.3,,
220,Rexona,Toiletries & Cosmetics,18.0,,
221,Agencia Nacional de Seguridad Vial,"Non-profit, public sector & education",17.9,,
222,Bentley,Automotive,17.1,,
222,Drinkfinity,Soft Drinks,17.1,,
222,Football For Friendship,"Non-profit, public sector & education",17.1,,
222,Porsche,Automotive,17.1,,
222,PPG-Sico,Business & Industrial,17.1,,
222,Doctors Without Border,"Non-profit, public sector & education",17.1,,
222,Voltaren,Pharma & Healthcare,17.1,,
222,Oetztal Tourismus,Transport & Tourism,17.1,,
222,Ooredoo Group,Telecoms & Utilities,17.1,,
222,Tiffany & Co,Clothing & Accessories,17.1,,
222,Microsoft Xbox,Technology & Electronics,17.1,,
233,Whisper,Toiletries & Cosmetics,17.0,,
234,Active Wheel,Household & Domestic,16.6,,
234,National Institute for Blood,"Non-profit, public sector & education",16.6,,
234,Sky,Media & Publishing,16.6,,
234,Antarctica,Alcoholic Drinks,16.6,,
238,KFC,Retail,16.5,,
239,National Health Insurance Company - Daman,Pharma & Healthcare,16.4,,
239,Chiclets,Food,16.4,,
239,Abed Tahan,Retail,16.4,,
239,Lay's,Food,16.4,,
239,Sprite,Soft Drinks,16.4,,
239,Braintree,Business & Industrial,16.4,,
245,Walmart,Retail,15.0,,
246,Doro,Technology & Electronics,14.9,,
246,Desperados,Alcoholic Drinks,14.9,,
246,Ford Performance,Automotive,14.9,,
246,Betsafe,Leisure & Entertainment,14.9,,
250,Friso,Food,14.8,,
250,Watsons,Retail,14.8,,
252,Camelot,Leisure & Entertainment,14.7,,
252,Atlantic Records,Leisure & Entertainment,14.7,,
254,"The Muse, Ladies Get Paid, PayScale, Reply.ai","Non-profit, public sector & education",14.3,,
255,Amarula,Alcoholic Drinks,14.2,,
255,Unilever,Household & Domestic,14.2,,
255,Garanti Bank,Financial Services,14.2,,
255,Yapi Kredi Bank,Financial Services,14.2,,
255,Big C,Retail,14.2,,
255,YouTube,Media & Publishing,14.2,,
255,Krungsri Bank,Financial Services,14.2,,
255,OCBC,Financial Services,14.2,,
255,Pureit,Household & Domestic,14.2,,
255,Qantas,Transport & Tourism,14.2,,
255,"Lifebuoy, Domex, Pureit",Toiletries & Cosmetics,14.2,,
255,Wall's Ice-Cream,Food,14.2,,
267,V Energy Drink,Soft Drinks,14.1,,
267,Velocity Frequent Flyer,Transport & Tourism,14.1,,
267,Jaslok Hospital And Research Centre,"Non-profit, public sector & education",14.1,,
267,Westpac,Financial Services,14.1,,
271,Batelco,Telecoms & Utilities,13.8,,
272,SNCF,Transport & Tourism,13.4,,
272,Car2Go,Transport & Tourism,13.4,,
272,Helsinki Police,"Non-profit, public sector & education",13.4,,
275,PETA,"Non-profit, public sector & education",13.1,,
275,Pink Ribbon Germany,"Non-profit, public sector & education",13.1,,
