Rank,Brand,Product Category,Points,,
223,Pantene,Toiletries & Cosmetics,12.1,,
223,Save Street Child Sidoarjo,"Non-profit, public sector & education",12.1,,
223,Champions for Change,"Non-profit, public sector & education",12.1,,
226,BIC,Household & Domestic,12.0,,
227,Goulburn Valley,Food,11.9,,
228,RMIT University,"Non-profit, public sector & education",11.8,,
229,Hulu,Media & Publishing,11.7,,
230,Copenhagen Pride,"Non-profit, public sector & education",11.6,,
231,KitKat,Food,11.2,,
232,Allan Gray,Financial Services,10.8,,
232,Dagoma,Technology & Electronics,10.8,,
232,Kloop,Media & Publishing,10.8,,
232,Sleeping Giants,"Non-profit, public sector & education",10.8,,
232,Jeep,Automotive,10.8,,
237,Li-Ning,Clothing & Accessories,10.7,,
238,Campofrío,Food,10.6,,
238,Singapore Tourism Board,Transport & Tourism,10.6,,
238,Daiki Angel Help Inc.,Pharma & Healthcare,10.6,,
238,Cablevisión Flow,Media & Publishing,10.6,,
238,Berlin Philharmonics,Leisure & Entertainment,10.6,,
238,SickKids Foundation,"Non-profit, public sector & education",10.6,,
244,History,Media & Publishing,10.5,,
244,Dirección General de Tráfico,"Non-profit, public sector & education",10.5,,
244,Adolfo Dominguez,Clothing & Accessories,10.5,,
244,Pescanova,Food,10.5,,
244,UNESCO,"Non-profit, public sector & education",10.5,,
244,Movistar,Telecoms & Utilities,10.5,,
250,Dulux,Household & Domestic,10.4,,
251,Castle Lager,Alcoholic Drinks,10.3,,
252,Aldi,Retail,10.2,,
252,TD Ameritrade,Financial Services,10.2,,
252,Game of Thrones / Bud Light,Media & Publishing,10.2,,
252,NZ Transport Agency,"Non-profit, public sector & education",10.2,,
256,Red Cross,"Non-profit, public sector & education",10.1,,
257,Visit Faroe Islands,Transport & Tourism,10.0,,
257,Tribeca Film Festival,Leisure & Entertainment,10.0,,
257,Sonos,Technology & Electronics,10.0,,
257,Pepsi,Soft Drinks,10.0,,
257,Vip mobile,Telecoms & Utilities,10.0,,
257,Telekom,Telecoms & Utilities,10.0,,
257,European Women Alliance,"Non-profit, public sector & education",10.0,,
257,Orcam,Technology & Electronics,10.0,,
265,Bahay Tuluyan,"Non-profit, public sector & education",9.8,,
266,Swiss Life,Financial Services,9.7,,
266,Magnum,Food,9.7,,
268,Expensify,Business & Industrial,9.6,,
268,Rolling Stone,Media & Publishing,9.6,,
270,Fondation 30 millions d'amis,"Non-profit, public sector & education",9.5,,
270,Carlsberg,Alcoholic Drinks,9.5,,
272,e-galáxia,Media & Publishing,9.3,,
272,Doom,Pharma & Healthcare,9.3,,
274,National Organization for Victim Assistance,"Non-profit, public sector & education",9.1,,
274,Haribo,Food,9.1,,
276,Puma,Clothing & Accessories,9.0,,
276,Right to Play,"Non-profit, public sector & education",9.0,,
276,Sojitz,Business & Industrial,9.0,,
276,Audi,Automotive,9.0,,
280,Canal+,Media & Publishing,8.9,,
280,Lux,Toiletries & Cosmetics,8.9,,
280,Boysen KNOxOUT,Household & Domestic,8.9,,
280,RSA / Legacy,"Non-profit, public sector & education",8.9,,
280,Toppits,Household & Domestic,8.9,,
280,Progressive Insurance,Financial Services,8.9,,
280,The Alzheimer Foundation of Thailand,"Non-profit, public sector & education",8.9,,
280,St John WA,"Non-profit, public sector & education",8.9,,
280,KitchenAid,Technology & Electronics,8.9,,
280,Ancestry,Media & Publishing,8.9,,
290,Dove,Toiletries & Cosmetics,8.8,,
290,Škoda,Automotive,8.8,,
290,Conservation International,"Non-profit, public sector & education",8.8,,
290,Loto,Leisure & Entertainment,8.8,,
290,Chevrolet,Automotive,8.8,,
290,LifeDirect,Financial Services,8.8,,
296,Cinemark Hoyts,Media & Publishing,8.4,,
296,Amazon Web Services / SAP,Technology & Electronics,8.4,,
296,Bankia,Financial Services,8.4,,
296,Greenpeople,Retail,8.4,,
300,Pond's Men,Toiletries & Cosmetics,8.3,,
300,Cadbury Dairy Milk,Food,8.3,,
300,Food Pulse,Media & Publishing,8.3,,
303,Edgars,Retail,8.2,,
304,Fundación Huésped,"Non-profit, public sector & education",8.0,,
304,Lifebuoy,Toiletries & Cosmetics,8.0,,
304,Tencent Foundation / China Organ Donation,"Non-profit, public sector & education",8.0,,
304,Extra Gum,Food,8.0,,
304,TMRW,Financial Services,8.0,,
304,Campaign Against the Return of the Marcoses to Malacanang (CARMMA),"Non-profit, public sector & education",8.0,,
304,Amazarashi,Media & Publishing,8.0,,
304,Office for Seniors,"Non-profit, public sector & education",8.0,,
304,WABC / Tencent Foundation,"Non-profit, public sector & education",8.0,,
313,Squarespace,Business & Industrial,7.9,,
314,Ripio,Financial Services,7.8,,
314,ESPN,Media & Publishing,7.8,,
314,Bonds,Clothing & Accessories,7.8,,
314,China Airlines,Transport & Tourism,7.8,,
318,Tesco,Retail,7.7,,
319,Antarctica,Alcoholic Drinks,7.6,,
319,Írók Boltja,Retail,7.6,,
319,ITV,Media & Publishing,7.6,,
319,Tommy Hilfiger,Clothing & Accessories,7.6,,
319,Aflac,Financial Services,7.6,,
324,Carling Black Label,Alcoholic Drinks,7.5,,
325,Y!Mobile,Telecoms & Utilities,7.4,,
325,Sunsilk,Toiletries & Cosmetics,7.4,,
325,Foodbank,"Non-profit, public sector & education",7.4,,
325,Sense International India,"Non-profit, public sector & education",7.4,,
329,Nordstrom,Retail,7.2,,
329,Miracle Whip,Food,7.2,,
329,Tanqueray,Alcoholic Drinks,7.2,,
332,VOO,Telecoms & Utilities,7.1,,
332,NEWLIVES,"Non-profit, public sector & education",7.1,,
334,OVK / PEVR (Parents of Road Victims),"Non-profit, public sector & education",7.0,,
334,Berlei,Clothing & Accessories,7.0,,
334,talkingegg.info,"Non-profit, public sector & education",7.0,,
334,Mimica,Business & Industrial,7.0,,
334,Liga Contra el Cáncer,"Non-profit, public sector & education",7.0,,
334,Güd,Household & Domestic,7.0,,
340,Association des journalistes pour l'environnement,"Non-profit, public sector & education",6.8,,
340,Bacardi,Alcoholic Drinks,6.8,,
340,Play-Doh,Leisure & Entertainment,6.8,,
340,Dexcom,Pharma & Healthcare,6.8,,
340,Heinz Ketchup,Food,6.8,,
340,Urgence Homophobie,"Non-profit, public sector & education",6.8,,
340,Fox Premium,Media & Publishing,6.8,,
340,Liberty Global,Media & Publishing,6.8,,
340,IndyCar,Leisure & Entertainment,6.8,,
340,WePresent,Media & Publishing,6.8,,
340,Miu Miu,Clothing & Accessories,6.8,,
340,Amazon Echo,Technology & Electronics,6.8,,
340,Reese's Peanut Butter Cup,Food,6.8,,
340,Square,Financial Services,6.8,,
354,DAZN,Media & Publishing,6.7,,
354,Farmland,Food,6.7,,
354,The Sopranos,Media & Publishing,6.7,,
354,Showmax,Media & Publishing,6.7,,
358,Standard Chartered,Financial Services,6.4,,
359,Sargento,Food,6.3,,
359,Fundación Katy Summer,"Non-profit, public sector & education",6.3,,
359,J&B,Alcoholic Drinks,6.3,,
359,AMIS,Financial Services,6.3,,
359,AmBev,Alcoholic Drinks,6.3,,
359,Skol,Alcoholic Drinks,6.3,,
