,,,,,
Rank,Brand,Product Category,Points,,
105,Absolut Vodka,Alcoholic Drinks,20.0,,
105,Goldeimer,Household & Domestic,20.0,,
105,Bluradio,Media & Publishing,20.0,,
105,MyChoice Funeral Plan,Financial Services,20.0,,
105,Whisper,Toiletries & Cosmetics,20.0,,
105,Prospan,Pharma & Healthcare,20.0,,
105,Telenet,Telecoms & Utilities,20.0,,
113,Big Bazaar,Retail,19.9,,
114,Velocity Frequent Flyer,Transport & Tourism,19.5,,
115,Old Navy,Retail,19.0,,
116,1-800-Flowers.com,Retail,18.3,,
117,Hasbro,Leisure & Entertainment,18.1,,
117,Neutrogena,Toiletries & Cosmetics,18.1,,
119,Rogue One: A Star Wars Story,Media & Publishing,18.0,,
120,Warner Bros,Media & Publishing,17.8,,
120,Nike,Clothing & Accessories,17.8,,
122,TNT,Media & Publishing,17.5,,
123,Banco Bradesco,Financial Services,17.1,,
123,Scotiabank,Financial Services,17.1,,
125,Puck,Food,16.7,,
125,Hulu,Media & Publishing,16.7,,
125,Mountain Dew,Soft Drinks,16.7,,
125,Starbucks,Retail,16.7,,
125,Sunlight,Household & Domestic,16.7,,
125,Lotto 6/49,Leisure & Entertainment,16.7,,
125,War for the Planet of the Apes,Media & Publishing,16.7,,
132,Knorr,Food,16.5,,
133,Crest Kids,Toiletries & Cosmetics,16.2,,
134,Sport Chek,Retail,16.0,,
134,Salomon,Clothing & Accessories,16.0,,
136,Macleans,Toiletries & Cosmetics,15.8,,
137,T-Mobile,Telecoms & Utilities,15.7,,
138,Dove,Toiletries & Cosmetics,15.5,,
139,Doritos,Food,15.2,,
140,Queensland Police,"Non-profit, public sector & education",15.1,,
140,ALA,Household & Domestic,15.1,,
142,Porsche,Automotive,15.0,,
142,Project Nanhi Kali,"Non-profit, public sector & education",15.0,,
142,JCDecaux,Business & Industrial,15.0,,
145,The Star,Leisure & Entertainment,14.9,,
145,Madrid Booksellers,Leisure & Entertainment,14.9,,
147,PayPal,Financial Services,14.7,,
148,France Télévisions,Media & Publishing,14.5,,
149,Sprite,Soft Drinks,14.3,,
149,TUMS,Pharma & Healthcare,14.3,,
151,Red Rock Deli,Food,14.0,,
152,Testicular Cancer NZ,"Non-profit, public sector & education",13.5,,
153,Alliance de l’Industrie Touristique du Québec,Transport & Tourism,13.3,,
153,Aveeno,Toiletries & Cosmetics,13.3,,
153,Suzuki,Automotive,13.3,,
153,Softlogic Life Insurance,Financial Services,13.3,,
157,Twitter,Media & Publishing,13.2,,
157,Aeroméxico,Transport & Tourism,13.2,,
157,Clorox,Household & Domestic,13.2,,
157,Apronax,Pharma & Healthcare,13.2,,
157,Cristal,Alcoholic Drinks,13.2,,
162,Braintree,Financial Services,12.9,,
162,Al Rajhi Bank,Financial Services,12.9,,
164,Special Olympics,"Non-profit, public sector & education",12.6,,
165,Singapore Tourism Board,Transport & Tourism,12.5,,
166,Citroën,Automotive,12.4,,
167,Makkal Needhi Maiam,"Non-profit, public sector & education",12.3,,
168,Lincoln Navigator,Automotive,12.1,,
169,Greenfield Natural Meat Co.,Food,12.0,,
169,Mars Wrigley Confectionery,Food,12.0,,
169,Fairy,Household & Domestic,12.0,,
169,Avbob,Financial Services,12.0,,
173,State Street Global Advisors,Financial Services,11.7,,
173,Trash Isles,"Non-profit, public sector & education",11.7,,
175,WUSC,"Non-profit, public sector & education",11.1,,
175,Belo Essentials,Toiletries & Cosmetics,11.1,,
175,Anchor,Food,11.1,,
