Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
82,Serviceplan,Paris,Creative Agency,France,X,"Non-profit, public sector & education",127.2
83,Leo Burnett,Madrid,Creative Agency,Spain,,Leisure & Entertainment,125.6
84,FCB,Chicago,Creative Agency,USA,,"Household & Domestic, Non-profit, public sector & education, Retail, Toiletries & Cosmetics",124.6
85,Africa,Sao Paulo,Creative Agency,Brazil,,"Alcoholic Drinks, Automotive, Financial Services, Media & Publishing, Non-profit, public sector & education",124.4
86,Leo Burnett,Beirut,Creative Agency,Lebanon,,"Non-profit, public sector & education",122.3
87,We Believers,New York,Creative Agency,USA,X,"Alcoholic Drinks, Retail, Soft Drinks",121.1
88,DigitasLBi,Chicago,Creative Agency,USA,,Technology & Electronics,120.7
89,Ogilvy & Mather,Sao Paulo,Creative Agency,Brazil,,"Business & Industrial, Media & Publishing, Pharma & Healthcare, Soft Drinks",119.3
90,72andSunny,Los Angeles,Creative Agency,USA,,Technology & Electronics,119.2
91,TBWA\Thailand,Bangkok,Creative Agency,Thailand,,Retail,118.9
92,Fred & Farid,Paris,Creative Agency,France,X,"Clothing & Accessories, Financial Services, Household & Domestic, Media & Publishing",118.3
93,R/GA,Sydney,Creative Agency,Australia,,Technology & Electronics,118.2
94,BBDO,Mumbai,Creative Agency,India,,"Household & Domestic, Retail, Soft Drinks",117.6
95,Ogilvy & Mather,Mumbai,Creative Agency,India,,"Media & Publishing, Pharma & Healthcare, Telecoms & Utilities, Transport & Tourism",117.4
96,MRM//McCann,Madrid,Creative Agency,Spain,,"Financial Services, Non-profit, public sector & education",114.3
97,Venables Bell & Partners,San Francisco,Creative Agency,USA,X,Automotive,113.1
98,Wieden+Kennedy,Amsterdam,Creative Agency,Netherlands,X,"Clothing & Accessories, Media & Publishing, Transport & Tourism",110.4
99,McCann,Madrid,Creative Agency,Spain,,"Food, Retail, Telecoms & Utilities",110.1
100,Leo Burnett,Dubai,Creative Agency,United Arab Emirates,,"Retail, Telecoms & Utilities",109.9
101,VML,Kansas City,Creative Agency,USA,,"Non-profit, public sector & education, Retail",109.5
102,DM9DDB,Sao Paulo,Creative Agency,Brazil,,"Non-profit, public sector & education, Retail, Toiletries & Cosmetics",106.3
103,BBDO,Lahore,Creative Agency,Pakistan,,"Non-profit, public sector & education, Soft Drinks",103.3
104,J. Walter Thompson,Paris,Creative Agency,France,,Media & Publishing,102.3
104,J. Walter Thompson,Sao Paulo,Creative Agency,Brazil,,"Non-profit, public sector & education",102.3
106,GSD&M,Austin,Creative Agency,USA,,"Food, Non-profit, public sector & education",97.4
107,Ogilvy & Mather,Melbourne,Creative Agency,Australia,,Financial Services,96.1
108,Madre,Buenos Aires,Creative Agency,Argentina,X,Alcoholic Drinks,95.7
109,Great Works,Stockholm,Creative Agency,Sweden,X,"Non-profit, public sector & education",93.9
110,McCann,London,Creative Agency,UK,,"Non-profit, public sector & education, Technology & Electronics",91.1
111,J. Walter Thompson,Sydney,Creative Agency,Australia,,"Non-profit, public sector & education",91.0
112,Marcel,Sydney,Creative Agency,Australia,,"Alcoholic Drinks, Pharma & Healthcare",88.8
113,Y&R,Prague,Creative Agency,Czech Republic,,Media & Publishing,85.9
114,Iris,London,Creative Agency,UK,X,"Clothing & Accessories, Retail",85.7
115,McCann,Lima,Creative Agency,Peru,,"Media & Publishing, Non-profit, public sector & education, Retail",85.2
115,SapientRazorfish,New York,Creative Agency,USA,,Toiletries & Cosmetics,85.2
117,B-Reel,London,Creative Agency,UK,X,Leisure & Entertainment,84.7
118,Publicis Conseil,Paris,Creative Agency,France,,"Automotive, Financial Services, Retail, Telecoms & Utilities",83.8
119,Energy BBDO,Chicago,Creative Agency,USA,,"Food, Pharma & Healthcare",83.0
119,Possible,Moscow,Creative Agency,Russia,,"Soft Drinks, Technology & Electronics",83.0
121,Leo Burnett,London,Creative Agency,UK,,Retail,82.8
122,Dentsu Y&R,Tokyo,Creative Agency,Japan,,Pharma & Healthcare,82.5
123,Leo Burnett,Mumbai,Creative Agency,India,,"Automotive, Financial Services",82.4
124,DDB,Auckland,Creative Agency,New Zealand,,"Alcoholic Drinks, Leisure & Entertainment, Media & Publishing, Non-profit, public sector & education",82.0
125,Grey,New York,Creative Agency,USA,,Toiletries & Cosmetics,81.8
126,BBDO,Dusseldorf,Creative Agency,Germany,,Soft Drinks,80.3
127,Voskhod,Yekaterinburg,Creative Agency,Russia,X,"Financial Services, Leisure & Entertainment, Pharma & Healthcare",79.3
128,TBWA\Shanghai,Shanghai,Creative Agency,China (Mainland),,"Leisure & Entertainment, Non-profit, public sector & education",76.3
129,Area 23,New York,Creative Agency,USA,,"Non-profit, public sector & education, Pharma & Healthcare",73.7
130,R/GA,San Francisco,Creative Agency,USA,,Technology & Electronics,73.6
131,BBH,London,Creative Agency,UK,,"Alcoholic Drinks, Financial Services, Media & Publishing, Technology & Electronics, Telecoms & Utilities",72.7
132,Herezie,Paris,Creative Agency,France,X,"Non-profit, public sector & education",72.3
133,Ogilvy Public Relations,London,Creative Agency,UK,,Automotive,70.2
133,OgilvyOne,London,Creative Agency,UK,,Automotive,70.2
135,Barton F Graf,New York,Creative Agency,USA,X,"Food, Household & Domestic",69.9
136,Y&R,Istanbul,Creative Agency,Turkey,,Telecoms & Utilities,69.2
137,These Days - Wunderman,Antwerp,Creative Agency,Belgium,,"Automotive, Household & Domestic, Non-profit, public sector & education",68.4
138,Ogilvy & Mather,Johannesburg,Creative Agency,South Africa,,"Food, Media & Publishing, Retail",67.1
139,Publicis,Shanghai,Creative Agency,China (Mainland),,"Non-profit, public sector & education, Technology & Electronics",66.5
140,INGO,Stockholm,Creative Agency,Sweden,,Transport & Tourism,64.9
141,FP7/TUN,Tunis,Creative Agency,Tunisia,,Telecoms & Utilities,64.4
142,TBWA\Melbourne,Melbourne,Creative Agency,Australia,,Financial Services,64.2
143,Ogilvy & Mather,Mexico City,Creative Agency,Mexico,,Transport & Tourism,63.7
144,The Monkeys,Sydney,Creative Agency,Australia,,"Food, Non-profit, public sector & education",63.1
145,CP+B,Boulder,Creative Agency,USA,,Food,62.9
146,Grey,Buenos Aires,Creative Agency,Argentina,,"Household & Domestic, Media & Publishing, Soft Drinks",62.8
147,Cheil,Madrid,Creative Agency,Spain,X,Technology & Electronics,62.3
147,ADK,Tokyo,Creative Agency,Japan,,Business & Industrial,62.3
149,RBK Communication,Stockholm,Creative Agency,Sweden,X,Financial Services,61.9
150,Shackleton,Madrid,Creative Agency,Spain,X,"Leisure & Entertainment, Media & Publishing",61.4
151,Jung von Matt,Zurich,Creative Agency,Switzerland,X,"Media & Publishing, Transport & Tourism",61.2
152,TBWA\Media Arts Lab,Los Angeles,Creative Agency,USA,,Technology & Electronics,60.8
153,N=5,Amsterdam,Creative Agency,Netherlands,X,Telecoms & Utilities,59.9
154,Law & Kenneth Saatchi & Saatchi,Mumbai,Creative Agency,India,,"Non-profit, public sector & education, Transport & Tourism",59.2
155,Google Creative Lab,London,Creative Agency,UK,X,Technology & Electronics,58.7
156,Bardzo,Warsaw,Creative Agency,Poland,X,Retail,57.9
156,AKQA,Shanghai,Creative Agency,China (Mainland),,Clothing & Accessories,57.9
158,Google Brand Studio,San Francisco,Creative Agency,USA,,Technology & Electronics,57.6
159,Grey,Bogota,Creative Agency,Colombia,,"Business & Industrial, Telecoms & Utilities",57.5
160,Wieden+Kennedy,Delhi,Creative Agency,India,X,Clothing & Accessories,57.4
161,Y&R,Cape Town,Creative Agency,South Africa,,"Leisure & Entertainment, Non-profit, public sector & education, Toiletries & Cosmetics",57.3
162,Grey,London,Creative Agency,UK,,"Leisure & Entertainment, Non-profit, public sector & education, Soft Drinks, Technology & Electronics",56.3
163,Good,Moscow,Creative Agency,Russia,X,Financial Services,55.8
164,Wieden+Kennedy,London,Creative Agency,UK,X,"Food, Household & Domestic, Retail",55.4
165,Weber Shandwick,London,Creative Agency,UK,,"Non-profit, public sector & education",55.3
166,CP+B,Los Angeles,Creative Agency,USA,,"Alcoholic Drinks, Financial Services",55.2
167,Commonwealth//McCann,Detroit,Creative Agency,USA,,Automotive,54.6
168,Liquidminds,Copenhagen,Creative Agency,Denmark,X,Transport & Tourism,54.4
168,Sansir,Torshavn,Creative Agency,Denmark,X,Transport & Tourism,54.4
170,J. Walter Thompson,Bogota,Creative Agency,Colombia,,"Clothing & Accessories, Food, Non-profit, public sector & education",53.3
171,hasan & Partners,Helsinki,Creative Agency,Finland,X,"Business & Industrial, Food",53.0
172,TBWA\Istanbul,Istanbul,Creative Agency,Turkey,,"Automotive, Business & Industrial, Non-profit, public sector & education, Technology & Electronics",52.3
173,Droga5,London,Creative Agency,UK,X,"Food, Leisure & Entertainment, Retail",52.2
174,BWM Dentsu,Melbourne,Creative Agency,Australia,,"Non-profit, public sector & education, Retail",51.6
175,Fuel Publicidade,Lisbon,Creative Agency,Portugal,,Leisure & Entertainment,51.5
176,Ogilvy & Mather,Madrid,Creative Agency,Spain,,Automotive,51.2
177,Freundliche Gruesse,Zurich,Creative Agency,Switzerland,X,"Non-profit, public sector & education",50.9
177,Findasense,Bogota,Creative Agency,Colombia,X,Soft Drinks,50.9
179,Dentsu Tec,Tokyo,Creative Agency,Japan,,Technology & Electronics,50.7
180,DAVID,Sao Paulo,Creative Agency,Brazil,,"Household & Domestic, Retail",50.5
181,Y&R,Madrid,Creative Agency,Spain,,"Automotive, Media & Publishing, Retail",50.0
182,McCann,Bogota,Creative Agency,Colombia,,"Non-profit, public sector & education, Transport & Tourism",49.8
183,Fred & Farid,New York,Creative Agency,USA,X,"Non-profit, public sector & education",49.0
184,Lg2,Quebec,Creative Agency,Canada,X,"Alcoholic Drinks, Non-profit, public sector & education",48.5
184,Romance,Paris,Creative Agency,France,,Retail,48.5
186,Triad Advertising,Bratislava,Creative Agency,Slovakia,X,Telecoms & Utilities,48.3
187,Innocean Worldwide,Seoul,Creative Agency,South Korea,X,"Automotive, Non-profit, public sector & education",48.1
188,MullenLowe,London,Creative Agency,UK,,"Household & Domestic, Soft Drinks",47.8
189,VML,New York,Creative Agency,USA,,Leisure & Entertainment,47.4
190,King,Stockholm,Creative Agency,Sweden,X,"Leisure & Entertainment, Non-profit, public sector & education, Retail",47.3
191,DDB,Madrid,Creative Agency,Spain,,Automotive,46.0
192,We Are Social,Paris,Creative Agency,France,,"Non-profit, public sector & education, Technology & Electronics",45.9
193,DDB,Brussels,Creative Agency,Belgium,,"Media & Publishing, Retail",45.7
193,Uberground,Hamburg,Creative Agency,Germany,X,Retail,45.7
195,J. Walter Thompson,Shanghai,Creative Agency,China (Mainland),,"Pharma & Healthcare, Technology & Electronics",45.6
196,Ruf Lanz,Zurich,Creative Agency,Switzerland,X,"Leisure & Entertainment, Retail",45.5
197,DDB,Dubai,Creative Agency,United Arab Emirates,,"Non-profit, public sector & education",43.5
198,Mediamonks,Amsterdam,Creative Agency,Netherlands,X,Technology & Electronics,43.4
199,Circus Grey,Lima,Creative Agency,Peru,,"Business & Industrial, Non-profit, public sector & education",42.8
200,Tencent,Shenzhen,Creative Agency,China (Mainland),X,Technology & Electronics,42.3
201,Sid Lee,Montreal,Creative Agency,Canada,,"Leisure & Entertainment, Retail",42.2
202,Rosapark,Paris,Creative Agency,France,,"Retail, Transport & Tourism",42.1
203,Six Inc,Tokyo,Creative Agency,Japan,,Financial Services,42.0
204,Mother,London,Creative Agency,UK,X,"Financial Services, Retail",41.9
205,Hakuhodo Kettle,Tokyo,Creative Agency,Japan,,"Automotive, Telecoms & Utilities, Toiletries & Cosmetics",41.0
206,FCB,Buenos Aires,Creative Agency,Argentina,,"Business & Industrial, Household & Domestic",40.6
207,Naga DDB Malaysia,Selangor,Creative Agency,Malaysia,,"Non-profit, public sector & education",40.4
208,Fahrenheit DDB,Lima,Creative Agency,Peru,,"Alcoholic Drinks, Non-profit, public sector & education",39.8
209,X-Line Co,Taipei City,Creative Agency,Taiwan,X,Clothing & Accessories,39.6
210,CHI&Partners,London,Creative Agency,UK,,"Alcoholic Drinks, Media & Publishing, Retail",39.4
211,ACNE,Stockholm,Creative Agency,Sweden,X,Retail,39.3
212,Cheil,Schwalbach,Creative Agency,Germany,X,Retail,39.1
212,Nomades,Mexico City,Creative Agency,Mexico,X,Alcoholic Drinks,39.1
214,TBWA\G1,Boulogne-Billancourt,Creative Agency,France,,Automotive,39.0
215,Leo Burnett,Taipei City,Creative Agency,Taiwan,,Alcoholic Drinks,38.9
216,FCB,Sao Paulo,Creative Agency,Brazil,,Media & Publishing,38.8
217,King James II,Johannesburg,Creative Agency,South Africa,X,"Financial Services, Retail",38.6
217,MullenLowe,Singapore,Creative Agency,Singapore,,"Household & Domestic, Toiletries & Cosmetics",38.6
219,J. Walter Thompson,Mumbai,Creative Agency,India,,"Business & Industrial, Media & Publishing, Technology & Electronics",38.4
