Rank,Brand,Product Category,Points,,
264,SICO,Household & Domestic,8.4,,
264,SAP Ariba,Business & Industrial,8.4,,
264,Sport Chek,Retail,8.4,,
264,Chevron,Automotive,8.4,,
264,HGTV,Media & Publishing,8.4,,
264,MetLife,Financial Services,8.4,,
264,CSL Behring,Pharma & Healthcare,8.4,,
280,UNICEF,"Non-profit, public sector & education",8.3,,
280,Bud Light,Alcoholic Drinks,8.3,,
280,A&W,Retail,8.3,,
280,Reese's Peanut Butter Cup,Food,8.3,,
280,Gas-X,Pharma & Healthcare,8.3,,
285,Mucinex,Pharma & Healthcare,8.1,,
285,Treasury Wine Estates,Alcoholic Drinks,8.1,,
285,Project Nanhi Kali,"Non-profit, public sector & education",8.1,,
285,Sunsilk,Toiletries & Cosmetics,8.1,,
285,Ribena,Soft Drinks,8.1,,
285,Polo,Food,8.1,,
285,Kompakt Finanse,Financial Services,8.1,,
285,Lipton,Soft Drinks,8.1,,
293,Yes,Telecoms & Utilities,8.0,,
294,Godrej HIT,Pharma & Healthcare,7.9,,
294,Artefact,Business & Industrial,7.9,,
294,Broadcast Audience Research Council India,Business & Industrial,7.9,,
294,LiveRamp,Technology & Electronics,7.9,,
298,Sunwhite,Food,7.7,,
298,Raid,Household & Domestic,7.7,,
298,Telfast,Pharma & Healthcare,7.7,,
298,Anlene,Food,7.7,,
298,VOO,Telecoms & Utilities,7.7,,
303,Garnier,Toiletries & Cosmetics,7.6,,
303,Pedigree,Household & Domestic,7.6,,
305,FOX,Media & Publishing,7.5,,
305,Jinglingguan,Soft Drinks,7.5,,
305,Tourism Central Coast,Transport & Tourism,7.5,,
308,Guinness,Alcoholic Drinks,7.4,,
308,Trident,Food,7.4,,
308,Amstel,Alcoholic Drinks,7.4,,
308,Banco Agricola,Financial Services,7.4,,
308,LinkedIn,Media & Publishing,7.4,,
313,7-Eleven,Retail,7.3,,
313,Tencent,Telecoms & Utilities,7.3,,
315,Carvaan,Media & Publishing,7.0,,
315,Incredible India,Transport & Tourism,7.0,,
315,Credit Suisse,Financial Services,7.0,,
315,MGM Resorts International,Leisure & Entertainment,7.0,,
315,Deutsche Bank,Financial Services,7.0,,
315,Siemens,Technology & Electronics,7.0,,
315,Amgen,Pharma & Healthcare,7.0,,
322,Virgin Trains,Transport & Tourism,6.9,,
322,Time to Change,"Non-profit, public sector & education",6.9,,
322,Max Factor,Toiletries & Cosmetics,6.9,,
322,Hope Fashion,Retail,6.9,,
322,Coty,Toiletries & Cosmetics,6.9,,
322,Yorkshire Tea,Soft Drinks,6.9,,
322,Starbucks,Retail,6.9,,
322,TSB,Financial Services,6.9,,
322,Strangers,Media & Publishing,6.9,,
322,NSPCC,"Non-profit, public sector & education",6.9,,
322,The Telegraph,Media & Publishing,6.9,,
322,eBay,Retail,6.9,,
322,Sprite,Soft Drinks,6.9,,
322,Turkcell,Telecoms & Utilities,6.9,,
336,National Geographic,Media & Publishing,6.7,,
337,Fundación Katy Summer,"Non-profit, public sector & education",6.4,,
337,UNESCO,"Non-profit, public sector & education",6.4,,
337,Amazon Web Services,Technology & Electronics,6.4,,
340,The Heart Foundation,"Non-profit, public sector & education",6.3,,
341,sahibinden.com,Retail,6.1,,
341,Migros,Retail,6.1,,
341,Luxoptica,Pharma & Healthcare,6.1,,
341,Danner,"Non-profit, public sector & education",6.1,,
341,Davivienda,Financial Services,6.1,,
341,Chin Gu Containers,Leisure & Entertainment,6.1,,
347,BCP,Financial Services,6.0,,
347,Bezeq,Telecoms & Utilities,6.0,,
347,Teperberg,Alcoholic Drinks,6.0,,
347,RD EnSeña,"Non-profit, public sector & education",6.0,,
351,Vaseline,Toiletries & Cosmetics,5.9,,
352,Jokowi-Amin,"Non-profit, public sector & education",5.6,,
352,Goyo: And Batang Heneral,Media & Publishing,5.6,,
352,Tierschutzverein München,"Non-profit, public sector & education",5.6,,
352,Bank of America,Financial Services,5.6,,
352,Radio-Canada,Media & Publishing,5.6,,
352,Sports Experts,Retail,5.6,,
352,National Oilwell Varco,Business & Industrial,5.6,,
352,Birks,Clothing & Accessories,5.6,,
352,Trelleborg Marine & Infrastructure,Business & Industrial,5.6,,
352,Tiger Beer,Alcoholic Drinks,5.6,,
352,Mr. Muscle,Household & Domestic,5.6,,
352,Accenture,Business & Industrial,5.6,,
364,ING Bank,Financial Services,5.4,,
364,Croatia osiguranje,Financial Services,5.4,,
364,Spotify,Media & Publishing,5.4,,
367,Hiroshima Tourism,Transport & Tourism,5.3,,
367,Google Maps,Technology & Electronics,5.3,,
369,Nissan,Automotive,5.1,,
369,Careem,Transport & Tourism,5.1,,
369,ForteBank,Financial Services,5.1,,
369,Flipkart,Retail,5.1,,
369,Lotto,Leisure & Entertainment,5.1,,
369,Government of Valenzuela City,"Non-profit, public sector & education",5.1,,
375,ACT II,Food,4.9,,
375,Grupo Modelo,Alcoholic Drinks,4.9,,
375,Sedal,Toiletries & Cosmetics,4.9,,
375,TNT,Media & Publishing,4.9,,
375,TENA,Toiletries & Cosmetics,4.9,,
375,Devassa,Alcoholic Drinks,4.9,,
375,Ayudín,Household & Domestic,4.9,,
375,YPF,Business & Industrial,4.9,,
375,Quaker,Food,4.9,,
375,Beefeater,Alcoholic Drinks,4.9,,
385,ICICI Lombard,Financial Services,4.7,,
385,The Colour of Grey Cells,"Non-profit, public sector & education",4.7,,
387,Habitat for Humanity,"Non-profit, public sector & education",4.6,,
387,Castle Lager,Alcoholic Drinks,4.6,,
387,The Waste Management Coalition / Greenpeace,"Non-profit, public sector & education",4.6,,
387,Popsicle,Food,4.6,,
387,Nutella,Food,4.6,,
387,Miami International Airport / Florida Power & Light Services,Transport & Tourism,4.6,,
387,Miller Genuine Draft,Alcoholic Drinks,4.6,,
387,Mercado Libre,Retail,4.6,,
387,Anmum,Food,4.6,,
387,Dora and the Lost City of Gold,Media & Publishing,4.6,,
387,MINISO,Retail,4.6,,
387,Rappi,Retail,4.6,,
399,Deutsche Telekom,Telecoms & Utilities,4.5,,
399,Flixonase,Pharma & Healthcare,4.5,,
399,Zolla,Retail,4.5,,
399,Эвотор,Business & Industrial,4.5,,
399,MTS,Telecoms & Utilities,4.5,,
404,Change The Ref,"Non-profit, public sector & education",4.4,,
404,Ovaltine,Soft Drinks,4.4,,
406,LG U+,Telecoms & Utilities,4.3,,
407,Trapa,Food,4.2,,
407,Southern Poverty Law Center,"Non-profit, public sector & education",4.2,,
407,Braskem,Business & Industrial,4.2,,
407,Illinois Council Against Handgun Violence,"Non-profit, public sector & education",4.2,,
407,Travel Texas,Transport & Tourism,4.2,,
407,Firehouse Subs,Retail,4.2,,
407,American Ninja Warrior Junior,Media & Publishing,4.2,,
407,Ad Council,"Non-profit, public sector & education",4.2,,
415,Work.ua,Business & Industrial,4.1,,
416,Mobil,Business & Industrial,4.0,,
416,Wingstop,Retail,4.0,,
416,IHOP,Retail,4.0,,
416,Chicago Sun-Times,Media & Publishing,4.0,,
416,Instituto Nacional del Cáncer,"Non-profit, public sector & education",4.0,,
416,Heinz Beanz,Food,4.0,,
416,Princess Cruises,Transport & Tourism,4.0,,
416,OldTown White Coffee,Soft Drinks,4.0,,
416,Baby Dove,Toiletries & Cosmetics,4.0,,
416,Brooke Bond Red Label,Soft Drinks,4.0,,
416,Clear,Toiletries & Cosmetics,4.0,,
416,Gillette,Toiletries & Cosmetics,4.0,,
416,Children's Panadol,Pharma & Healthcare,4.0,,
416,Mercury,Telecoms & Utilities,4.0,,
416,SOK,Retail,4.0,,
431,APF France Handicap,"Non-profit, public sector & education",3.8,,
431,Red Cross,"Non-profit, public sector & education",3.8,,
431,Knochenmarkspenderzentrale Universitätsklinikum,"Non-profit, public sector & education",3.8,,
431,Back Market,Retail,3.8,,
431,Philips,Technology & Electronics,3.8,,
431,Dulux,Household & Domestic,3.8,,
431,Booking.com,Transport & Tourism,3.8,,
431,Interac,Financial Services,3.8,,
431,Sting,Soft Drinks,3.8,,
431,Sunlight,Household & Domestic,3.8,,
431,ZEE5,Media & Publishing,3.8,,
442,Tmall,Retail,3.7,,
442,Verizon Media Group,Business & Industrial,3.7,,
444,Garanti BBVA,Financial Services,3.1,,
445,Jotun Paints,Household & Domestic,3.0,,
445,Al Tayer Motors,Automotive,3.0,,
447,Shopee,Retail,2.8,,
447,WildAid / CHANGEVN,"Non-profit, public sector & education",2.8,,
447,Neutrogena,Toiletries & Cosmetics,2.8,,
447,YouTube Go,Media & Publishing,2.8,,
447,Alliance de l’Industrie Touristique du Québec,Transport & Tourism,2.8,,
447,Airbus,Transport & Tourism,2.8,,
447,Museo de Historia Natural,Leisure & Entertainment,2.8,,
447,DDL&CO,Retail,2.8,,
447,Rice Krispies Treats,Food,2.8,,
447,Honda,Automotive,2.8,,
447,Omen,Technology & Electronics,2.8,,
447,Paytime,Media & Publishing,2.8,,
447,KIKO MILANO,Toiletries & Cosmetics,2.8,,
447,The Looming Tower,Media & Publishing,2.8,,
461,Kind & Gezin,"Non-profit, public sector & education",2.7,,
461,Tymbark,Soft Drinks,2.7,,
461,Advance,Household & Domestic,2.7,,
461,Shero / Always,Toiletries & Cosmetics,2.7,,
465,Al Ain,Soft Drinks,2.6,,
465,Chevrolet,Automotive,2.6,,
465,Saudi Telecom Company,Telecoms & Utilities,2.6,,
468,La Casa de Las Flores,Media & Publishing,2.5,,
468,HSBC,Financial Services,2.5,,
468,Magnum,Food,2.5,,
468,Tramontina,Household & Domestic,2.5,,
468,Huggies,Toiletries & Cosmetics,2.5,,
468,7 Up,Soft Drinks,2.5,,
468,Fundación Las Rosas,"Non-profit, public sector & education",2.5,,
468,The Nun,Media & Publishing,2.5,,
468,Homecenter,Retail,2.5,,
468,Jean Paul Gaultier,Clothing & Accessories,2.5,,
478,SNCF Réseau,Transport & Tourism,2.3,,
478,Assassin's Creed,Technology & Electronics,2.3,,
478,Xbox,Technology & Electronics,2.3,,
478,Missing Persons Advocacy Network,"Non-profit, public sector & education",2.3,,
478,American Express,Financial Services,2.3,,
478,Goldeimer,Household & Domestic,2.3,,
478,O.N.E.,"Non-profit, public sector & education",2.3,,
478,Trolli,Food,2.3,,
478,ER24,Pharma & Healthcare,2.3,,
478,Carl's Jr.,Retail,2.3,,
478,Hormosan,Pharma & Healthcare,2.3,,
489,E-Moving,Automotive,2.2,,
489,Agusha,Food,2.2,,
489,Beeline,Telecoms & Utilities,2.2,,
489,Kotex,Toiletries & Cosmetics,2.2,,
489,TNT-Network,Media & Publishing,2.2,,
494,Superliga Argentina De Fútbol,Leisure & Entertainment,2.1,,
494,Cerveza Poker,Alcoholic Drinks,2.1,,
494,AmBev,Alcoholic Drinks,2.1,,
494,Yo Quiero Yo Puedo,"Non-profit, public sector & education",2.1,,
494,Museu Nacional De Belas Artes,Leisure & Entertainment,2.1,,
494,Centro de Investigacion y Capacitacion Propuesta Civica,"Non-profit, public sector & education",2.1,,
494,e-galáxia,Media & Publishing,2.1,,
494,Cerveza Aguila,Alcoholic Drinks,2.1,,
494,La Fundación Peruana de Cáncer,"Non-profit, public sector & education",2.1,,
494,Companhia das Letras,Media & Publishing,2.1,,
494,Skip,Household & Domestic,2.1,,
494,Reactine,Pharma & Healthcare,2.1,,
494,Infinity,Media & Publishing,2.1,,
494,Eclipse,Food,2.1,,
508,BBVA,Financial Services,2.0,,
508,Gasco,Business & Industrial,2.0,,
508,Asociación Mutual Israelita Argentina,"Non-profit, public sector & education",2.0,,
