Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
231,Canvas Worldwide,Los Angeles,Creative Agency,USA,X,Automotive,8.0
231,Flashtalking,New York,Creative Agency,USA,X,Media & Publishing,8.0
231,FP7/CAI,Cairo,Creative Agency,Egypt,,Financial Services,8.0
231,GroundTruth,New York,Creative Agency,USA,X,Retail,8.0
231,Havas Media,Paris,Creative Agency,France,,Transport & Tourism,8.0
231,Havas Media,Amsterdam,Creative Agency,Netherlands,,Automotive,8.0
231,Havas Media,Dubai,Creative Agency,United Arab Emirates,,Transport & Tourism,8.0
231,Initiative,Riyadh,Creative Agency,Saudi Arabia,,Telecoms & Utilities,8.0
231,Innocean Worldwide,Seoul,Creative Agency,South Korea,X,Automotive,8.0
231,Integral Ad Science,New York,Creative Agency,USA,X,Media & Publishing,8.0
231,Marvelous,Copenhagen,Creative Agency,Denmark,X,Technology & Electronics,8.0
231,MediaCom,Hong Kong,Creative Agency,Hong Kong,,Food,8.0
231,MediaCom,Petaling Jaya,Creative Agency,Malaysia,,Business & Industrial,8.0
231,MediaCom,New York,Creative Agency,USA,,Clothing & Accessories,8.0
231,OMD,Shanghai,Creative Agency,China (Mainland),,Clothing & Accessories,8.0
231,OMD,Hamburg,Creative Agency,Germany,,Media & Publishing,8.0
231,PHD,Beijing,Creative Agency,China (Mainland),,Automotive,8.0
231,Stein IAS,London,Creative Agency,UK,X,Food,8.0
231,Tapad,New York,Digital/Specialist Agency,USA,X,Media & Publishing,8.0
231,VML,Chicago,Creative Agency,USA,,Food,8.0
231,Wunderman,London,Creative Agency,UK,,Business & Industrial,8.0
254,Mindshare,Gurgaon,Creative Agency,India,,Soft Drinks,7.7
255,Ekstra Bladet Story Studio,Copenhagen,Creative Agency,Denmark,X,Financial Services,7.6
255,Rafineri,Istanbul,Creative Agency,Turkey,X,Media & Publishing,7.6
257,Initiative,Bangkok,Creative Agency,Thailand,,Food,7.4
257,PHD,Mumbai,Creative Agency,India,,Household & Domestic,7.4
257,Cheil Worldwide,Madrid,Creative Agency,Spain,X,Technology & Electronics,7.4
257,DDB,Guaynabo,Creative Agency,Puerto Rico,,Business & Industrial,7.4
