Rank,Brand,Product Category,Points,,
244,RAGWITEK® and GRASTEK®,Pharma & Healthcare,16.1,,
244,Opera Mediaworks,Business & Industrial,16.1,,
244,Comitê Organizador Rio 2016,"Non-profit, public sector & education",16.1,,
251,Grupo Éxito,Retail,16.0,,
252,Energizer,Household & Domestic,15.9,,
252,McVitie's,Food,15.9,,
254,Beijing Xiaomi Mobile software,Telecoms & Utilities,15.8,,
254,Cathay Financial Holding,Financial Services,15.8,,
254,Kang Shi Fu Instant Noodles Investment,Food,15.8,,
254,"President Enterprises (China) Investment Co., Ltd",Soft Drinks,15.8,,
254,Shanghai Golden olive culture development centre,"Non-profit, public sector & education",15.8,,
254,Chevron,Automotive,15.8,,
254,SA Health,"Non-profit, public sector & education",15.8,,
254,Nescafé Dolce Gusto,Soft Drinks,15.8,,
262,Fair & Lovely,Toiletries & Cosmetics,15.7,,
262,Microloan Foundation,"Non-profit, public sector & education",15.7,,
262,Corona,Alcoholic Drinks,15.7,,
262,Mega,Media & Publishing,15.7,,
262,Paris,Retail,15.7,,
267,Bou Khalil Supermarche,Retail,15.6,,
267,Jarir Bookstore,Retail,15.6,,
267,Labanita,Soft Drinks,15.6,,
267,Pril,Household & Domestic,15.6,,
267,Saudi Telecom Company,Telecoms & Utilities,15.6,,
267,Iams,Household & Domestic,15.6,,
267,G Adventures,Transport & Tourism,15.6,,
267,Pierre Robert,Clothing & Accessories,15.6,,
275,Sport Club do Recife,Leisure & Entertainment,15.5,,
276,Nestlé,Food,15.4,,
276,adidas,Clothing & Accessories,15.4,,
276,Claro,Telecoms & Utilities,15.4,,
279,BBC Earth,Media & Publishing,15.1,,
279,Ambi Pur,Household & Domestic,15.1,,
279,San Andreas,Leisure & Entertainment,15.1,,
279,MEC Global,Business & Industrial,15.1,,
279,Star Wars The Force Awakens,Leisure & Entertainment,15.1,,
279,Bolia.com,Household & Domestic,15.1,,
285,Kellogg's,Food,14.9,,
285,Doritos,Food,14.9,,
287,National Geographic Channel,Media & Publishing,14.8,,
287,Nescafé,Soft Drinks,14.8,,
289,Lion,Soft Drinks,14.7,,
289,Medcom,Media & Publishing,14.7,,
289,The Electoral Commission,"Non-profit, public sector & education",14.7,,
289,Sealord,Food,14.7,,
293,Toys 'R' Us,Retail,14.6,,
293,Axis Securities Limited,Financial Services,14.6,,
293,Skagen Funds,Financial Services,14.6,,
293,Lloyds Bank,Financial Services,14.6,,
293,Curitiba City Hall,"Non-profit, public sector & education",14.6,,
293,Vattenfall,Telecoms & Utilities,14.6,,
293,Reliance General Insurance,Financial Services,14.6,,
293,NASCAR,Leisure & Entertainment,14.6,,
293,Formann Gym,Leisure & Entertainment,14.6,,
293,Victoria Bitter,Alcoholic Drinks,14.6,,
293,The Danish Cancer Society,"Non-profit, public sector & education",14.6,,
293,Lufthansa,Transport & Tourism,14.6,,
293,El Al,Transport & Tourism,14.6,,
306,We Compost,Telecoms & Utilities,14.3,,
306,Pantene,Toiletries & Cosmetics,14.3,,
308,Shelter Pet,"Non-profit, public sector & education",14.2,,
308,Me & The Bees Lemonade,Soft Drinks,14.2,,
308,The GRAMMYs,Leisure & Entertainment,14.2,,
308,MyMusicRx,"Non-profit, public sector & education",14.2,,
308,Kinetic,Technology & Electronics,14.2,,
313,Magistral,Household & Domestic,14.1,,
313,General Election,"Non-profit, public sector & education",14.1,,
313,Johnnie Walker,Alcoholic Drinks,14.1,,
316,ShopClues.com,Retail,14.0,,
316,Anta,Clothing & Accessories,14.0,,
316,Surf Excel,Household & Domestic,14.0,,
316,Indian Association of Palliative Care (IAPC),"Non-profit, public sector & education",14.0,,
316,Bill & Melinda Gates Foundation,"Non-profit, public sector & education",14.0,,
316,HDFC Life,Financial Services,14.0,,
316,Asian Paints Colour Academy,Household & Domestic,14.0,,
316,Bharti Airtel,Telecoms & Utilities,14.0,,
324,Paty,Food,13.8,,
325,Campofrío,Food,13.7,,
325,Currys PC World,Retail,13.7,,
327,AIDS Concern,"Non-profit, public sector & education",13.6,,
327,Zalando,Retail,13.6,,
329,RaboDirect,Financial Services,13.5,,
330,Construction Trading House Petrovich,Business & Industrial,13.3,,
330,Halo 5,Leisure & Entertainment,13.3,,
330,SIDIZ,Business & Industrial,13.3,,
330,Seagram's,Soft Drinks,13.3,,
330,Baedal Minjok,Technology & Electronics,13.3,,
335,JCDecaux,Media & Publishing,13.2,,
335,Studio Brussels,Media & Publishing,13.2,,
335,Intersport﻿,Retail,13.2,,
335,Gala Coral﻿,Retail,13.2,,
335,Gorta Self Help Africa,"Non-profit, public sector & education",13.2,,
335,Visit Brussels,Transport & Tourism,13.2,,
335,Villa Del Sur Levité Doble Sabor,Soft Drinks,13.2,,
335,Tarjeta Naranja,Financial Services,13.2,,
335,Banco Hipotecario,Financial Services,13.2,,
335,MACMA,"Non-profit, public sector & education",13.2,,
335,Quiero! Banco Galicia,Financial Services,13.2,,
335,Domino's Pizza,Food,13.2,,
335,Imagina Cuervo,Alcoholic Drinks,13.2,,
348,PLAY,Telecoms & Utilities,13.1,,
348,HejtStop,"Non-profit, public sector & education",13.1,,
348,Tampony o.b.,Toiletries & Cosmetics,13.1,,
348,Karaca,Retail,13.1,,
348,Ülker,Food,13.1,,
348,Pierre Cardin,Clothing & Accessories,13.1,,
348,SEK,Soft Drinks,13.1,,
348,D-SMART,Telecoms & Utilities,13.1,,
348,Bridgestone,Automotive,13.1,,
348,Magistratsabteilung 48,Retail,13.1,,
348,Graubünden Ferien,Transport & Tourism,13.1,,
348,ING,Financial Services,13.1,,
348,Yox Con Defensis,Food,13.1,,
361,NTUC Income,Financial Services,13.0,,
361,Falabella,Retail,13.0,,
361,Nido,Food,13.0,,
361,Gambrinus,Food,13.0,,
361,Bayadera Group,Alcoholic Drinks,13.0,,
361,Bukovel Resort,Transport & Tourism,13.0,,
361,Carpathian mineral waters,Soft Drinks,13.0,,
361,Wong,Retail,13.0,,
361,Milko,Food,13.0,,
361,Leumit Health Services,"Non-profit, public sector & education",13.0,,
361,Shanti House,"Non-profit, public sector & education",13.0,,
361,Marathon Sports,Retail,13.0,,
361,Agua Cristal,Soft Drinks,13.0,,
361,Zagrebačka pivovara,Financial Services,13.0,,
361,Acura,Automotive,13.0,,
361,Atados,"Non-profit, public sector & education",13.0,,
361,Reese's,Food,13.0,,
378,Banco Santander,Financial Services,12.9,,
379,Pilsen,Alcoholic Drinks,12.8,,
380,Kingston Technology Company,Technology & Electronics,12.6,,
380,PXMart,Retail,12.6,,
380,Banco República,Financial Services,12.6,,
383,TECNO,Telecoms & Utilities,12.5,,
383,Zain,Telecoms & Utilities,12.5,,
383,Daman,"Non-profit, public sector & education",12.5,,
386,Miller High Life,Alcoholic Drinks,12.4,,
386,Consumer Healthcare Products Association,Pharma & Healthcare,12.4,,
386,Lincoln,Automotive,12.4,,
386,Prevnar 13,Pharma & Healthcare,12.4,,
386,JetBlue Airways,Transport & Tourism,12.4,,
386,Pure Michigan,Transport & Tourism,12.4,,
386,Men’s ROGAINE®,Toiletries & Cosmetics,12.4,,
386,SolarCity,Telecoms & Utilities,12.4,,
386,Apartments.com,Media & Publishing,12.4,,
386,Cesar,Household & Domestic,12.4,,
386,California Department of Public Health,"Non-profit, public sector & education",12.4,,
386,Diet Dr Pepper,Soft Drinks,12.4,,
386,Hill’s Science Diet,Household & Domestic,12.4,,
386,KeyBank,Financial Services,12.4,,
386,BrokerCheck by FINRA,Financial Services,12.4,,
386,United States Postal Service,"Non-profit, public sector & education",12.4,,
386,Doctors of the World,"Non-profit, public sector & education",12.4,,
386,YWCA Canada,"Non-profit, public sector & education",12.4,,
386,5 Gum,Food,12.4,,
386,Nabob Coffee Company,Soft Drinks,12.4,,
386,AXE,Toiletries & Cosmetics,12.4,,
407,Westpac,Financial Services,12.2,,
408,"Hershey Company, The",Food,11.9,,
408,Love Yourself,"Non-profit, public sector & education",11.9,,
408,Hiroshima Prefecture Tourism Board,Transport & Tourism,11.9,,
408,Diu Tourism,Transport & Tourism,11.9,,
412,Women's Aid,"Non-profit, public sector & education",11.8,,
412,Fundacion Voz Animal,"Non-profit, public sector & education",11.8,,
412,Arcos Dourados Comercio de Alimentos,Food,11.8,,
412,Central Cervacera Colombiana,Alcoholic Drinks,11.8,,
416,Bupa,Pharma & Healthcare,11.6,,
416,Quantas,Transport & Tourism,11.6,,
416,SAS,Transport & Tourism,11.6,,
419,Deutsche Telekom,Telecoms & Utilities,11.5,,
419,DirecTV,Media & Publishing,11.5,,
421,Lotería Nacional,"Non-profit, public sector & education",11.4,,
421,Converse,Clothing & Accessories,11.4,,
421,Magnum,Food,11.4,,
421,"Ministere Des Familles, De L'enfance et des Droits Des Femmes","Non-profit, public sector & education",11.4,,
425,Lynx,Toiletries & Cosmetics,11.3,,
425,Virgin Media,Telecoms & Utilities,11.3,,
427,Bournvita,Soft Drinks,11.2,,
427,Raymond,Retail,11.2,,
427,Droom.in,Automotive,11.2,,
430,A&W,Food,11.1,,
431,SapientNitro,Business & Industrial,11.0,,
432,Slurpee Xpandinator,Soft Drinks,10.9,,
432,American Red Cross,"Non-profit, public sector & education",10.9,,
432,Toddy,Soft Drinks,10.9,,
435,Australian Government - Department of Social Services,"Non-profit, public sector & education",10.8,,
435,"Appliance Shed, The",Retail,10.8,,
435,Aspirina 100,Pharma & Healthcare,10.8,,
435,Compañía Nacional de Chocolates,Food,10.8,,
435,Aegean Airlines,Transport & Tourism,10.8,,
440,American Express,Financial Services,10.7,,
440,Western Digital,Telecoms & Utilities,10.7,,
440,Spike TV,Media & Publishing,10.7,,
443,Casillero del Diablo﻿,Alcoholic Drinks,10.6,,
443,San Pellegrino,Soft Drinks,10.6,,
443,HSBC,Financial Services,10.6,,
443,Alto Palermo Shopping,Retail,10.6,,
443,Gallo Snacks,Food,10.6,,
443,Blem,Household & Domestic,10.6,,
443,Lacoste,Clothing & Accessories,10.6,,
