Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
102,Dentsu Jayme Syfu,Makati,Creative Agency,Philippines,,"Non-profit, public sector & education",32.9
103,Havas Worldwide,Düsseldorf,Creative Agency,Germany,,"Business & Industrial, Media & Publishing",32.7
104,Bensimon Bryne,Toronto,Creative Agency,Canada,X,"Non-profit, public sector & education",32.4
105,Mother,London,Creative Agency,UK,X,"Financial Services, Retail",32.0
106,Joe Public,Johannesburg,Creative Agency,South Africa,X,"Leisure & Entertainment, Non-profit, public sector & education, Retail, Telecoms & Utilities",31.5
107,R/GA,Portland,Creative Agency,USA,,Clothing & Accessories,30.6
108,McCann,Paris,Creative Agency,France,,"Non-profit, public sector & education",30.5
109,Herezie,Paris,Creative Agency,France,X,"Non-profit, public sector & education, Technology & Electronics",30.1
109,DM9DDB,São Paulo,Creative Agency,Brazil,,Retail,30.1
109,Sra. Rushmore,Madrid,Creative Agency,Spain,,"Non-profit, public sector & education",30.1
112,Eleven,San Francisco,Creative Agency,USA,,Technology & Electronics,30.0
112,Giant Spoon,New York,Creative Agency,USA,X,Media & Publishing,30.0
114,DDB,Buenos Aires,Creative Agency,Argentina,,"Automotive, Business & Industrial, Financial Services, Non-profit, public sector & education",29.9
115,Goodby Silverstein & Partners,San Francisco,Creative Agency,USA,,"Non-profit, public sector & education, Telecoms & Utilities",29.8
116,Wieden+Kennedy,Amsterdam,Creative Agency,Netherlands,X,Clothing & Accessories,29.6
117,BETC,Paris,Creative Agency,France,,"Automotive, Clothing & Accessories, Household & Domestic, Non-profit, public sector & education",29.5
117,Ogilvy,Mexico City,Creative Agency,Mexico,,"Technology & Electronics, Transport & Tourism",29.5
119,AKQA,Portland,Creative Agency,USA,,Retail,29.2
119,MKG,New York,Creative Agency,USA,X,Telecoms & Utilities,29.2
119,We Believers,New York,Creative Agency,USA,X,Automotive,29.2
122,Good,Moscow,Creative Agency,Russia,X,Financial Services,28.6
123,McKinney,Durham,Creative Agency,USA,X,Automotive,28.4
124,Grey,Madrid,Creative Agency,Spain,,"Financial Services, Food",28.3
125,J. Walter Thompson,São Paulo,Creative Agency,Brazil,,"Food, Non-profit, public sector & education, Pharma & Healthcare",26.5
126,McCann,Milan,Creative Agency,Italy,,"Alcoholic Drinks, Non-profit, public sector & education",25.8
127,McCann,Podgorica,Creative Agency,Montenegro,,"Non-profit, public sector & education",25.7
127,McCann,Belgrade,Creative Agency,Serbia,,"Non-profit, public sector & education",25.7
127,TBWA\Sydney,Sydney,Creative Agency,Australia,,"Clothing & Accessories, Soft Drinks",25.7
130,TBWA\Istanbul,Istanbul,Creative Agency,Turkey,,"Automotive, Non-profit, public sector & education, Retail",25.4
130,CHE Proximity,Sydney,Creative Agency,Australia,,"Pharma & Healthcare, Transport & Tourism",25.4
132,Y&R,Paris,Creative Agency,France,,"Retail, Toiletries & Cosmetics",25.3
133,Loved,Hamburg,Creative Agency,Germany,,Retail,25.1
133,thjnk,Berlin,Creative Agency,Germany,,Retail,25.1
