Rank,Agency Name,City,Agency Type,Agency Location,Product Category,Points
102,TBWA\Helsinki,Helsinki,Creative Agency,Finland,"Media & Publishing, Retail",35
103,thjnk,Zurich,Creative Agency,Switzerland,"Non-profit, public sector & education",34.9
104,Special Group,Sydney,Creative Agency,Australia,Retail,33.7
105,McCann,Bucharest,Creative Agency,Romania,"Food, Non-profit, public sector & education, Retail, Soft Drinks, Telecoms & Utilities",33.6
106,FCB,New Delhi,Creative Agency,India,"Non-profit, public sector & education",33.3
107,Leo Burnett,Dubai,Creative Agency,United Arab Emirates,"Financial Services, Retail, Telecoms & Utilities",32.2
108,VaynerMedia,New York,Digital/Specialist Agency,USA,"Alcoholic Drinks, Food",31.9
109,DDB,New York,Creative Agency,USA,"Leisure & Entertainment, Retail",31.6
110,HO Communication,Shanghai,Creative Agency,China (Mainland),Retail,31.3
111,Rothco,Dublin,Creative Agency,Ireland,"Financial Services, Non-profit, public sector & education",31.2
112,Sra Rushmore,Madrid,Creative Agency,Spain,"Non-profit, public sector & education",31.1
113,DDB,Madrid,Creative Agency,Spain,"Non-profit, public sector & education",30.9
114,FP7/DXB,Dubai,Creative Agency,United Arab Emirates,"Pharma & Healthcare, Retail",30.4
115,King James,Cape Town,Creative Agency,South Africa,"Financial Services, Media & Publishing",29.5
116,antoni,Berlin,Creative Agency,Germany,Automotive,29.1
117,Alma DDB,Miami,Creative Agency,USA,"Non-profit, public sector & education, Retail",28.8
117,GTB,São Paulo,Creative Agency,Brazil,Automotive,28.8
119,Don,Buenos Aires,Creative Agency,Argentina,"Media & Publishing, Retail",27.7
120,DDB,Sydney,Creative Agency,Australia,"Automotive, Media & Publishing",27.5
121,TBWA\Santiago Mangada Puno,Makati,Creative Agency,Philippines,"Household & Domestic, Non-profit, public sector & education",26.7
122,Leo Burnett,Taipei,Creative Agency,Taiwan,"Automotive, Retail, Transport & Tourism",26.5
123,Z+,São Paulo,Creative Agency,Brazil,"Automotive, Non-profit, public sector & education",26.3
123,Jung von Matt/Limmat,Zurich,Creative Agency,Switzerland,"Non-profit, public sector & education",26.3
125,Pipar\TBWA,Reykjavik,Creative Agency,Iceland,"Non-profit, public sector & education",26.2
126,VMLY&R,São Paulo,Creative Agency,Brazil,"Household & Domestic, Media & Publishing, Non-profit, public sector & education, Telecoms & Utilities",26.1
127,We Believers,New York,Creative Agency,USA,Retail,26
128,Innocean Worldwide,Seoul,Creative Agency,South Korea,"Automotive, Financial Services",25.9
129,Lew'Lara\TBWA,São Paulo,Creative Agency,Brazil,"Non-profit, public sector & education",25.1
129,Engine,London,Creative Agency,UK,"Non-profit, public sector & education",25.1
131,&Co,Copenhagen,Creative Agency,Denmark,Clothing & Accessories,24.6
132,Buzzman,Paris,Creative Agency,France,"Leisure & Entertainment, Retail",24.5
133,J. Walter Thompson,Riyadh,Creative Agency,Saudi Arabia,"Media & Publishing, Telecoms & Utilities",24.1
133,Grey,Dhaka,Creative Agency,Bangladesh,Financial Services,24.1
135,Havas Worldwide,Istanbul,Creative Agency,Turkey,Household & Domestic,24
136,VMLY&R,Dubai,Creative Agency,United Arab Emirates,"Non-profit, public sector & education",23.8
137,Cheil Worldwide,Seoul,Creative Agency,South Korea,"Financial Services, Non-profit, public sector & education, Technology & Electronics",23.1
138,Centrade,Bucharest,Digital/Specialist Agency,Romania,"Non-profit, public sector & education",22.8
139,Erich & Kallman,San Francisco,Creative Agency,USA,Food,22.6
140,Geometry,Buenos Aires,Digital/Specialist Agency,Argentina,"Automotive, Media & Publishing",22.5
141,Digitas,Buenos Aires,Digital/Specialist Agency,Argentina,Soft Drinks,21.9
142,Leo Burnett,Tel Aviv,Creative Agency,Israel,"Alcoholic Drinks, Non-profit, public sector & education, Technology & Electronics",21.8
143,DDB,Vancouver,Creative Agency,Canada,Retail,21.6
143,The Marketing Store,Chicago,Creative Agency,USA,Retail,21.6
143,We Are Unlimited,Chicago,Creative Agency,USA,Retail,21.6
146,72andSunny,Los Angeles,Creative Agency,USA,Technology & Electronics,21.2
147,Grey,New York,Creative Agency,USA,Toiletries & Cosmetics,20.9
148,Wunderman Thompson,Mumbai,Creative Agency,India,"Non-profit, public sector & education",20.3
148,Wunderman Thompson,Amsterdam,Creative Agency,Netherlands,"Non-profit, public sector & education",20.3
150,Leo Burnett,Toronto,Creative Agency,Canada,"Financial Services, Household & Domestic",20
151,afg&,London,Digital/Specialist Agency,UK,Household & Domestic,19.9
152,Leo Burnett,Melbourne,Creative Agency,Australia,"Clothing & Accessories, Food",19.7
153,FCB,Johannesburg,Creative Agency,South Africa,"Automotive, Soft Drinks",19.1
153,Giant Spoon,New York,Creative Agency,USA,Media & Publishing,19.1
153,TBWA\Thailand,Bangkok,Creative Agency,Thailand,Retail,19.1
