Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
96,DAVID,Miami,Creative Agency,USA,,Retail,42.4
97,FCB,Auckland,Creative Agency,New Zealand,,"Non-profit, public sector & education",42.0
98,Trilia,New York,Creative Agency,USA,X,Retail,41.8
99,Colenso BBDO,Auckland,Creative Agency,New Zealand,,Household & Domestic,41.5
99,Starcom,Auckland,Creative Agency,New Zealand,,Household & Domestic,41.5
101,UM,Bucharest,Creative Agency,Romania,,"Food, Retail",41.4
101,Affinity,Sydney,Creative Agency,Australia,X,Retail,41.4
101,Starcom,New York,Creative Agency,USA,,Food,41.4
101,Zenith,London,Creative Agency,UK,,Financial Services,41.4
105,TBWA\RAAD,Dubai,Creative Agency,United Arab Emirates,,"Automotive, Household & Domestic, Retail",41.3
106,Leo Burnett,Sydney,Creative Agency,Australia,,Technology & Electronics,41.0
107,Forsman & Bodenfors,Gothenburg,Creative Agency,Sweden,X,"Toiletries & Cosmetics, Transport & Tourism",40.0
108,Carat,London,Creative Agency,UK,,"Alcoholic Drinks, Non-profit, public sector & education, Transport & Tourism",38.9
109,J. Walter Thompson,Riyadh,Creative Agency,Saudi Arabia,,"Media & Publishing, Telecoms & Utilities",38.4
110,Garage 366 DMCC,Dubai,Creative Agency,United Arab Emirates,X,Retail,38.0
110,Droga5,New York,Creative Agency,USA,X,Clothing & Accessories,38.0
112,R/GA,London,Creative Agency,UK,,"Clothing & Accessories, Toiletries & Cosmetics",37.9
113,Blue 449 Global,London,Creative Agency,UK,,Transport & Tourism,37.1
114,VML,Sydney,Creative Agency,Australia,,Retail,37.0
115,Saatchi & Saatchi,London,Creative Agency,UK,,Telecoms & Utilities,36.6
115,Segmento,Moscow,Creative Agency,Russia,X,Financial Services,36.6
115,TBWA\Hakuhodo,Tokyo,Creative Agency,Japan,X,Clothing & Accessories,36.6
118,Glue,Bogota,Creative Agency,Colombia,,Clothing & Accessories,36.4
119,Alma DDB,Miami,Creative Agency,USA,,Media & Publishing,36.3
120,OMD,Sydney,Creative Agency,Australia,,"Retail, Transport & Tourism",36.2
121,Expedia Media Solutions,New York,Creative Agency,USA,X,Transport & Tourism,35.9
122,Starcom,Cairo,Creative Agency,Egypt,,Food,35.5
123,Initiative,Kuala Lumpur,Creative Agency,Malaysia,,Telecoms & Utilities,35.4
124,MediaCom,Dubai,Creative Agency,United Arab Emirates,,"Food, Technology & Electronics, Toiletries & Cosmetics",35.1
125,Mindshare,Jakarta,Creative Agency,Indonesia,,Toiletries & Cosmetics,34.7
125,TBWA\Singapore,Singapore,Creative Agency,Singapore,,Toiletries & Cosmetics,34.7
127,Clemenger BBDO,Sydney,Creative Agency,Australia,,"Food, Soft Drinks",34.5
128,Mindshare,Istanbul,Creative Agency,Turkey,,"Food, Soft Drinks, Telecoms & Utilities",34.2
129,Carat,Moscow,Creative Agency,Russia,,Automotive,34.1
129,FCB,Moscow,Creative Agency,Russia,,Automotive,34.1
131,Starcom,Riyadh,Creative Agency,Saudi Arabia,,"Retail, Telecoms & Utilities",33.7
132,Wieden + Kennedy,Portland,Creative Agency,USA,X,Toiletries & Cosmetics,33.1
133,FP7/CAI,Cairo,Creative Agency,Egypt,,"Soft Drinks, Telecoms & Utilities",32.9
134,Initiative,Lima,Creative Agency,Peru,,Alcoholic Drinks,32.2
134,MediaCom,San Juan,Creative Agency,Puerto Rico,,Food,32.2
134,MKTG,New York,Creative Agency,USA,,Soft Drinks,32.2
134,UM,Miami,Creative Agency,USA,,Financial Services,32.2
138,J3,Dubai,Creative Agency,United Arab Emirates,,Toiletries & Cosmetics,31.7
138,OMD,Cairo,Creative Agency,Egypt,,"Food, Soft Drinks",31.7
138,Zenith,Dubai,Creative Agency,United Arab Emirates,,"Food, Toiletries & Cosmetics",31.7
141,Impact BBDO,Dubai,Creative Agency,United Arab Emirates,,"Food, Soft Drinks",31.1
142,Mindshare,Dubai,Creative Agency,United Arab Emirates,,"Financial Services, Technology & Electronics",30.8
143,PHD,Hong Kong,Creative Agency,Hong Kong,,"Financial Services, Toiletries & Cosmetics",30.5
144,Madison Media,Mumbai,Creative Agency,India,X,"Household & Domestic, Pharma & Healthcare, Toiletries & Cosmetics",29.9
145,FP7/TUN,Tunis,Creative Agency,Tunisia,,Telecoms & Utilities,29.2
146,Mindshare,Copenhagen,Creative Agency,Denmark,,Toiletries & Cosmetics,28.6
146,UM,Milan,Creative Agency,Italy,,Alcoholic Drinks,28.6
146,AGT Communications Group,Moscow,Creative Agency,Russia,X,"Non-profit, public sector & education, Transport & Tourism",28.6
146,Plan.net,Munich,Creative Agency,Germany,,"Business & Industrial, Media & Publishing",28.6
150,Liquorice,Cape Town,Creative Agency,South Africa,X,"Alcoholic Drinks, Household & Domestic",28.4
151,Dentsu Jayme Syfu,Makati City,Creative Agency,Philippines,,"Household & Domestic, Non-profit, public sector & education",28.2
151,BWM Dentsu,Melbourne,Creative Agency,Australia,,"Non-profit, public sector & education",28.2
151,Dentsu Mitchell,Melbourne,Creative Agency,Australia,,"Non-profit, public sector & education",28.2
151,Havas,Singapore,Creative Agency,Singapore,,Media & Publishing,28.2
155,FCB,Toronto,Creative Agency,Canada,,"Non-profit, public sector & education",27.4
155,Iris,London,Creative Agency,UK,,Clothing & Accessories,27.4
155,Possible,London,Creative Agency,UK,,Clothing & Accessories,27.4
